gid,light,dem,ndvi,road_dis,poi_dis,poi
9661,0,0,0.0,1446,17379.47289601391,0.0
9662,0,0,0.0,1927,17995.732248427983,0.0
9663,0,0,0.0,2416,18668.237917857638,0.0
9664,0,0,0.0,2909,19395.517009211082,0.0
9665,0,0,0.0,3403,20175.059127640383,0.0
9666,0,0,0.0,3875,20996.519372160084,0.0
9667,0,0,0.0,4220,21850.44180094188,0.0
9668,0,0,0.0,4594,22731.20151013025,0.0
9669,0,0,0.0,4990,23634.32684725322,0.0
9670,0,0,0.0,5404,24554.884990806317,0.0
9671,0,0,0.0,5823,25489.609481958945,0.0
9672,0,0,0.0,6252,26437.64257681231,0.0
9673,0,0,0.0,6690,27397.03339202302,0.0
9674,0,0,0.0,7095,28366.211970391374,0.0
9675,0,0,0.0,7478,29343.90128682223,0.0
9676,0,0,0.0,7874,30329.051643806826,0.0
9677,0,0,0.0,8281,31320.791491384534,0.0
9678,0,0,0.0,8698,32318.02608865345,0.0
9679,0,0,0.0,9043,33320.06102124758,0.0
9680,0,0,0.0,9387,34312.527457130265,0.0
9681,0,0,0.0,9744,35298.50281302304,0.0
9682,0,0,0.0,10113,36285.200359881856,0.0
9683,0,0,0.0,10493,37276.97216394856,0.0
9684,0,0,0.0,10882,38273.405880983104,0.0
9685,0,0,0.0,11281,39274.13484506707,0.0
9686,0,0,0.0,11687,40278.831644368496,0.0
9687,0,0,0.0,12100,41287.202781623586,0.0
9688,0,0,0.0,12519,42298.98420874674,0.0
9689,0,0,0.0,12945,43313.93757057078,0.0
9690,0,0,0.0,13375,44331.84702752428,0.0
9691,0,0,0.0,13810,45352.516553824586,0.0
9692,0,0,0.0,14249,46348.30233181066,0.0
9693,0,0,0.0,14693,47322.54182969138,0.0
9694,0,0,0.0,15139,48278.16139577258,0.0
9695,0,0,0.0,15589,49237.97577126328,0.0
9696,0,0,0.0,16042,50201.80992768056,0.0
9697,0,0,0.0,16498,51169.49779786336,0.0
9698,0,0,0.0,16956,52140.88158889278,0.0
9699,0,0,0.0,17417,53088.0678299652,0.0
